Name,Store Number,Convenience,Shopping,Specialty,Unsought,Other
NEW BERLIN COMMUNITY UNIT SCHOOL DISTRICT 16,17167,12136,418,3231,8487,10684
PAWNEE COMMUNITY UNIT SCHOOL DISTRICT 11,17167,7370,199,2091,5080,7289
PLEASANT PLAINS COMMUNITY UNIT SCHOOL DISTRICT 8,17167,18001,271,5889,11841,20770
RIVERTON COMMUNITY UNIT SCHOOL DISTRICT 14,17167,15642,1242,8325,6075,15000
ROCHESTER COMMUNITY UNIT SCHOOL DISTRICT 3 A,17167,25999,1207,11714,13078,26163
TRI CITY COMMUNITY UNIT SCHOOL DISTRICT 1,17167,7109,254,2898,3957,10112
WILLIAMSVILLE COMMUNITY UNIT SCHOOL DISTRICT 15,17167,17192,310,8026,8856,16601
SPRINGFIELD SCHOOL DISTRICT 186,17167,216785,24217,88735,103833,210903
REGIONAL OFFICE OF CAR/TECHNICAL EDUCATION,17167,1359,327,967,65,1368
SANGAMON AREA SPECIAL EDUCATION DISTRICT,17167,17046,2825,5096,9125,16916
CAPITAL AREA VOCATIONAL CENTER,17167,5022,0,605,4417,5456
SCHUYLER-INDUSTRY COMMUNITY UNIT SCHOOL DISTRICT 5,17169,12901,624,5838,6439,11691
WINCHESTER COMMUNITY UNIT SCHOOL DISTRICT 1,17171,6678,350,4068,2260,6547
SCOTT-MORGAN COMMUNITY UNIT SCHOOL DISTRICT 2,17171,2793,207,1423,1163,2878
SHELBYVILLE COMMUNITY UNIT SCHOOL DISTRICT 4,17173,13668,610,7670,5388,13863
STEWARDSON STRASBURG COMMUNITY UNIT SCHOOL DISTRICT 5A,17173,4296,203,2237,1856,4257
WINDSOR COMMUNITY UNIT SCHOOL DISTRICT 1,17173,4600,393,2464,1743,4554
COWDEN-HERRICK COMMUNITY UNIT SCHOOL DISTRICT 3-A,17173,4974,370,3331,1273,4603
BRADFORD COMMUNITY UNIT SCHOOL DISTRICT 1,17175,3579,163,840,2576,3460
STARK COUNTY COMMUNITY UNIT SCHOOL DISTRICT 100,17175,9698,337,3382,5979,9084
DAKOTA COMMUNITY UNIT SCHOOL DISTRICT 201,17177,10917,492,4088,6337,10526
FREEPORT SCHOOL DISTRICT 145,17177,59275,5143,30051,24081,56945
LENA WINSLOW COMMUNITY UNIT SCHOOL DISTRICT 202,17177,9550,590,4047,4913,12989
ORANGEVILLE COMMUNITY UNIT SCHOOL DISTRICT 203,17177,4754,245,1951,2558,4736
PEARL CITY SCHOOL DISTRICT 200,17177,6135,285,2687,3163,6161
CAREER TECHNICAL EDUCATION CONSORTIUM,17177,1698,135,646,917,1697
CENTRAL SCHOOL DISTRICT 51,17179,11648,328,3967,7353,10830
CREVE COEUR SCHOOL DISTRICT 76,17179,7212,610,4671,1931,7436
DEER CREEK MACKINAW COMMUNITY UNIT SCHOOL DISTRICT 701,17179,12307,331,5623,6353,11992
DELAVAN COMMUNITY UNIT SCHOOL DISTRICT 703,17179,6026,452,2488,3086,6115
EAST PEORIA COMMUNITY HIGH SCHOOL DISTRICT 309,17179,16394,778,5188,10428,16806
EAST PEORIA SCHOOL DISTRICT 86,17179,27241,1253,12996,12992,27370
MORTON COMMUNITY UNIT SCHOOL DISTRICT 709,17179,40360,845,10945,28570,44971
NORTH PEKIN-MARQUETTE HEIGHTS SCHOOL DISTRICT 102,17179,6777,403,4114,2260,6554
PEKIN COMMUNITY HIGH SCHOOL DISTRICT 303,17179,25307,1082,10009,14216,26713
PEKIN PUBLIC SCHOOL DISTRICT 108,17179,40404,3318,20806,16280,40841
RANKIN SCHOOL DISTRICT 98,17179,3405,154,1010,2241,3387
ROBEIN SCHOOL DISTRICT 85,17179,2111,103,652,1356,2119
SOUTH PEKIN SCHOOL DISTRICT 137,17179,2648,305,1809,534,2516
SPRING LAKE COMMUNITY SCHOOL DISTRICT 606,17179,895,71,367,457,817
TREMONT COMMUNITY UNIT SCHOOL DISTRICT 702,17179,11764,212,5126,6426,10922
WASHINGTON CHS DISTRICT 308,17179,19673,347,6466,12860,18586
WASHINGTON SCHOOL DISTRICT 52,17179,8605,270,4176,4159,8937
TAZEWELL COUNTY AREA EDUCATION FOR EMPLOYMENT 320,17179,695,199,152,344,769
TAZEWELL-MASON COUNTY SPECIAL EDUCATION ASSOCIATION,17179,9511,2476,856,6179,9629
DISTRICT 50 SCHOOLS,17179,8588,661,4664,3263,8264
ANNA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 37,17181,7310,509,4801,2000,7134
ANNA JONESBORO COMMUNITY SCHOOL DISTRICT 81,17181,6148,298,3128,2722,5836
COBDEN UNIT SCHOOL DISTRICT 17,17181,6648,469,4819,1360,6699
DONGOLA UNIT SCHOOL DISTRICT 66,17181,3335,201,2272,862,3316
LICK CREEK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 16,17087,1160,94,714,352,1295
SHAWNEE COMMUNITY UNIT SCHOOL DISTRICT 84,17181,5461,417,2358,2686,4815
ARMSTRONG ELLIS C SCHOOL DISTRICT 61,17183,1680,83,529,1068,1624
ARMSTRONG TOWNSHIP HIGH SCHOOL DISTRICT 225,17183,2480,91,538,1851,2159
BISMARCK COMMUNITY UNIT SCHOOL DISTRICT 1,17183,9972,202,4827,4943,9414
DANVILLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 118,17183,82643,11411,53550,17682,80924
GEORGETOWN RIDGEFARM COMMUNITY UNIT DISTRICT 4,17183,12840,1204,7988,3648,11800
HOOPESTON COMMUNITY UNIT SCHOOL DISTRICT 11,17183,15974,1140,10970,3864,16900
SALT FORK CUSD 512,17183,10916,241,5401,5274,10573
OAKWOOD COMMUNITY DISTRICT 76,17183,11230,369,6838,4023,11001
POTOMAC COMMUNITY UNIT SCHOOL DISTRICT 10,17183,2050,117,1190,743,2158
ROSSVILLE-ALVIN COMMUNITY UNIT SCHOOL DISTRICT 7,17183,4846,230,2785,1831,4603
WESTVILLE COMMUNITY UNIT SCHOOL DISTRICT 2,17183,13530,1023,9943,2564,13632
VERMILION ASSOCIATION OF SPECIAL EDUCATION,17183,5507,2019,1552,1936,5218
VERMILION COUNTY VOCATIONAL EDUCATION DELIVERY SYSTEM,17183,575,159,375,41,643
ALLENDALE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 17,17185,1655,138,963,554,1610
WABASH COMMUNITY UNIT SCHOOL DISTRICT 348,17185,13331,999,6894,5438,12719
OHIO-WABASH REGIONAL VOCATIONAL SYSTEM,17193,713,138,554,21,689
MONMOUTH-ROSEVILLE COMMUNITY UNIT SCHOOL DISTRICCT 238,17187,19348,1527,11466,6355,18381
UNITED COMMUNITY UNIT SCHOOL DISTRICT 304,17187,13143,584,4745,7814,12303
DELABAR VOCATIONAL EDUCATION SYSTEM,17187,394,73,162,159,395
ASHLEY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 15,17189,1592,197,828,567,1450
IRVINGTON COMMUNITY CONSOLIDATED SCHOOL DISTRICT 11,17189,715,92,274,349,748
NASHVILLE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 49,17189,6312,341,2488,3483,6152
NASHVILLE COMMUNITY HIGH SCHOOL DISTRICT 99,17189,5591,99,2599,2893,6186
OAKDALE COMMUNITY UNIT SCHOOL DISTRICT 1,17189,1614,58,1230,326,1650
WEST WASHINGTON COUNTY COMMUNITY UNIT DISTRICT 10,17189,9417,614,3860,4943,7616
FAIRFIELD COM HIGH SCHOOL DISTRICT 225,17191,5273,248,2809,2216,4917
FAIRFIELD PUBLIC SCHOOL DISTRICT 112,17191,7185,738,4535,1912,7258
GEFF COMMUNITY CONSOLIDATED SCHOOL DISTRICT 14,17191,1260,109,929,222,1253
JASPER COMMUNITY CONSOLIDATED SCHOOL DISTRICT 17,17191,1912,172,1239,501,2059
NEW HOPE COMMUNITY CONSOLIDATED SCHOOL DISTRICT 6,17191,1936,137,1210,589,1891
WAYNE COMMUNITY CONSOLIDATED U SCHOOL DISTRICT 100,17191,6078,454,3386,2238,21080
NORTH WAYNE COMMUNITY UNIT SCHOOL DISTRICT 200,17191,4916,281,2971,1664,4897
CARMI COMMUNITY UNIT SCHOOL DISTRICT 5,17193,17499,1088,9231,7180,15664
GRAYVILLE COMMUNITY SCHOOL DISTRICT 1,17193,3781,158,2540,1083,3966
NORRIS CITY-OMAHA-ENFIELD COMMUNITY SCHOOL DISTRICT 3,17193,7456,438,5077,1941,7571
WABASH AND OHIO VALLEY SPECIAL EDUCATION DISTRICT,17193,10489,5280,2391,2818,10370
MONTMORENCY SCHOOL DISTRICT 145,17195,3119,106,1529,1484,2887
ERIE COMMUNITY UNIT SCHOOL DISTRICT 1,17195,14939,218,6226,8495,13391
RIVER BEND COMMUNITY UNIT SCHOOL DISTRICT 2,17195,10713,471,4558,5684,10984
MORRISON COMMUNITY UNIT SCHOOL DISTRICT 6,17195,12238,379,5369,6490,10962
PROPHETSTOWN-LYNDON COMMUNITY UNIT SCHOOL DISTRICT 3,17195,9558,456,4630,4472,9403
ROCK FALLS SCHOOL DISTRICT 13,17195,12381,792,8870,2719,14345
ROCK FALLS TOWNSHIP HIGH SCHOOL DISTRICT 301,17195,10284,392,4303,5589,10169
STERLING COMMUNITY UNIT SCHOOL DISTRICT 5,17195,38345,2282,18763,17300,35472
EAST COLOMA - NELSON CESD 20,17195,3335,104,1638,1593,3423
WHITESIDE REGIONAL VOCATIONAL SYSTEM,17195,2105,159,977,969,2136
BI-COUNTY SPECIAL EDUCATION COOPERATIVE,17195,6078,2533,1373,2172,6181
BEECHER COMMUNITY SCHOOL DISTRICT 200 U,17197,14933,347,4623,9963,12728
CHANEY-MONGE SCHOOL DISTRICT 88,17197,6495,589,3753,2153,6521
CHANNAHON SCHOOL DISTRICT 17,17197,20823,103,3041,17679,16104
CRETE MONEE COMMUNITY UNIT SCHOOL DISTRICT 201-U,17197,85182,4623,31835,48724,80734
ELWOOD COMMUNITY SCHOOL DISTRICT 203,17197,5073,883,1443,2747,5560
FAIRMONT SCHOOL DISTRICT 89,17197,6327,484,3012,2831,5945
FRANKFORT COMMUNITY CONSOLIDATED SCHOOL DISTRICT 157 C,17197,39504,470,7752,31282,30932
JOLIET SCHOOL DISTRICT 86,17197,157885,15092,101984,40809,144800
JOLIET TOWNSHIP HIGH SCHOOL DISTRICT 204,17197,121617,6094,39946,75577,119326
LARAWAY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 70C,17197,11273,594,4937,5742,10053
LINCOLN WAY CHS DISTRICT 210,17197,123144,1653,33401,88090,120627
LOCKPORT SCHOOL DISTRICT 91,17197,9075,398,2887,5790,8082
LOCKPORT TOWNSHIP HIGH SCHOOL DISTRICT 205,17197,67522,1665,17754,48103,61417
WILL COUNTY SCHOOL DISTRICT 92,17197,31568,1011,8420,22137,35720
MANHATTAN SCHOOL DISTRICT 114,17197,17262,495,6459,10308,15999
MOKENA SCHOOL DISTRICT 159,17197,23561,1033,5697,16831,22611
NEW LENOX ELEMENTARY SCHOOL DISTRICT 122,17197,72363,1659,20074,50630,68359
PEOTONE COMMUNITY UNIT SCHOOL DISTRICT 207 U,17197,24604,897,7629,16078,22285
PLAINFIELD SCHOOL DISTRICT 202,17197,341284,11836,135395,194053,308244
REED CUSTER COMMUNITY UNIT DISTRICT 255 U,17197,33034,999,7137,24898,30449
ROCKDALE SCHOOL DISTRICT 84,17197,4151,375,2576,1200,4076
SUMMIT HILL SCHOOL DISTRICT 161,17197,49590,994,13581,35015,45781
TAFT SCHOOL DISTRICT 90,17197,4143,286,1630,2227,8768
TROY COMMUNITY CONSOLIDATED SCHOOL DISTRICT 30 C,17197,63052,1705,17835,43512,62224
UNION SCHOOL DISTRICT 81,17197,4400,166,722,3512,3440
VALLEY VIEW COMMUNITY UNIT SCHOOL DISTRICT 365 U,17197,303308,15509,113437,174362,281359
WILMINGTON LORENZO COMMUNITY UNIT SCHOOL DISTRICT 209 U,17197,18343,2600,5185,10558,19213
RICHLAND SCHOOL DISTRICT 88A,17197,13791,476,3707,9608,13287
THREE RIVERS EDUCATION FOR EMPLOYMENT SYSTEM,17197,2867,864,1920,83,2974
WILL COUNTY AREA VOCATIONAL CENTER,17197,6390,211,1737,4442,6780
LINCOLN-WAY AREA SPECIAL EDUCATION JOINT AGENCY DISTRICT,17197,22152,3052,4478,14622,20108
SOUTH WILL COUNTY SPECIAL EDUCATION COOPERATIVE,17197,16841,2983,4180,9678,17587
LOCKPORT AREA SPECIAL EDUCATION COOPERATIVE,17197,4273,988,968,2317,4037
HOMER COMMUNITY CONSOLIDATED SCHOOL DISTRICT 33 C,17197,58519,1202,15913,41404,57607
CARTERVILLE COMMUNITY UNIT SCHOOL DISTRICT 5,17199,20437,1018,10139,9280,19096
CRAB ORCHARD COMMUNITY UNIT SCHOOL DISTRICT 3,17199,4851,405,2783,1663,5146
HERRIN COMMUNITY UNIT SCHOOL DISTRICT 4,17199,27466,1751,17172,8543,27215
JOHNSTON CITY COMMUNITY UNIT SCHOOL DISTRICT 1,17199,12092,878,6719,4495,10744
MARION COMMUNITY UNIT SCHOOL DISTRICT 2,17199,51144,3692,22219,25233,56252
WILLIAMSON CO CTE SYSTEM,17199,430,107,323,0,322
WILLIAMSON COUNTY SPECIAL EDUCATION DISTRICT,17199,23238,3535,11098,8605,23358
DURAND COMMUNITY UNIT SCHOOL DISTRICT 322,17201,10372,400,2849,7123,9790
HARLEM UNIT SCHOOL DISTRICT 122,17201,107537,6280,49634,51623,105894
HONONEGAH COMMUNITY HIGH SCHOOL DISTRICT 207,17201,30469,1566,10583,18320,28541
KINNIKINNICK COMMUNITY CONSOLIDATED SCHOOL DISTRICT 131,17201,21156,745,8287,12124,19331
PECATONICA COMMUNITY UNIT SCHOOL DISTRICT 321,17201,12178,446,4670,7062,12059
PRAIRIE HILL COMMUNITY CONSOLIDATED SCHOOL DISTRICT 133,17201,9115,335,3445,5335,7917
ROCKTON SCHOOL DISTRICT 140,17201,16119,654,6946,8519,14728
SHIRLAND COMMUNITY CONSOLIDATED SCHOOL DISTRICT 134,17201,1741,143,383,1215,1703
SOUTH BELOIT COMMUNITY UNIT SCHOOL DISTRICT 320,17201,12981,1148,6652,5181,12042
WINNEBAGO COMMUNITY UNIT SCHOOL DISTRICT 323,17201,19987,724,7500,11763,17337
ROCKFORD SCHOOL DISTRICT 205,17201,445867,43350,238707,163810,481314
WINNEBAGO COUNTY SPECIAL EDUCATION COOPERATIVE,17201,6324,2208,716,3400,6070
NORTH CENTRAL ILLINOIS CAREER EDUCATION ASSOCIATION,17201,1745,635,719,391,1729
EL PASO-GRIDLEY COMMUNITY UNIT SCHOOL DISTRICT 11,17203,16378,632,6848,8898,17800
EUREKA COMMUNITY UNIT SCHOOL DISTRICT 140,17203,17443,724,7184,9535,17157
GERMANTOWN HILLS SCHOOL DISTRICT 69,17203,9793,332,3959,5502,9779
LOWPOINT WASHBURN COMMUNITY UNIT SCHOOL DISTRICT 21,17203,5154,316,1898,2940,5013
METAMORA COMMUNITY CONSOLIDATED SCHOOL DISTRICT 1,17203,8018,321,3044,4653,7659
METAMORA TOWNSHIP HIGH SCHOOL DISTRICT 122,17203,14839,412,4249,10178,13377
FIELDCREST COMMUNITY UNIT SCHOOL DISTRICT 6,17203,14422,783,5623,8016,14085
ROANOKE BENSON COMMUNITY UNIT SCHOOL DISTRICT 60,17203,7184,278,2175,4731,7557
RIVERVIEW COMMUNITY CONSOLIDATED SCHOOL DISTRICT 2,17203,2101,133,597,1371,2163
CENTRAL ILLINOIS VOCATIONAL EDUCATION COOPERATIVE,17203,314,63,121,130,350
WOODFORD COUNTY SPECIAL EDUCATION ASSOCIATION,17203,7732,681,1735,5316,7448
ADAMS CENTRAL COMMUNITY,18001,16528,1889,8991,5648,12808
NORTH ADAMS COMMUNITY,18001,26331,3267,14965,8099,23279
SOUTH ADAMS,18001,16315,2008,9803,4504,15218
FORT WAYNE COMMUNITY SCHOOLS,18003,370757,52069,240842,77846,377616
EAST ALLEN COUNTY SCHOOLS,18003,104554,8882,71192,24480,93528
NORTHWEST ALLEN COUNTY SCHOOLS,18003,77594,2263,48829,26502,66485
SOUTHWEST ALLEN COUNTY METROPOLITAN,18003,79110,3140,49522,26448,71375
FLAT ROCK HAWCREEK SCHOOL CORPORATION,18005,10131,378,6264,3489,8212
BARTHOLOMEW CONSOLIDATED SCHOOL CORPORATION,18005,144403,10570,85350,48483,138288
BENTON COMMUNITY SCHOOL CORPORATION,18007,24760,634,15795,8331,22341
BLACKFORD COUNTY SCHOOLS,18009,20508,1647,13535,5326,16784
ZIONSVILLE COMMUNITY SCHOOLS,18011,84955,1548,43723,39684,70101
LEBANON COMMUNITY SCHOOL CORPORATION,18011,50324,4612,28390,17322,43697
WESTERN BOONE COUNTY COMMUNITY SCHOOL CORPORATION,18011,20359,626,12564,7169,18337
BROWN COUNTY CONSOLIDATED SCHOOL CORPORATION,18013,26971,1718,16521,8732,27494
CARROLL CONSOLIDATED SCHOOL CORPORATION,18015,12055,439,8434,3182,11412
DELPHI COMMUNITY SCHOOL CORPORATION,18015,16715,637,11336,4742,15758
LOGANSPORT COMMUNITY SCHOOL CORPORATION,18017,54212,6597,34022,13593,58043
PIONEER REGIONAL SCHOOL CORPORATION,18017,10406,542,7025,2839,9735
SOUTHEASTERN CASS COUNTY,18017,15043,597,10180,4266,13728
CLARKSVILLE COMMUNITY SCHOOL CORPORATION,18019,17965,1198,11630,5137,16941
GREATER CLARK COUNTY,18019,124950,12133,83407,29410,118467
WILLIAM E WILSON EDUCATION CENTER,18019,1030,0,20,1010,997
WEST CLARK COMMUNITY,18019,51736,2015,34377,15344,45994
CLAY COMMUNITY,18021,47617,3414,33189,11014,43622
FRANKFORT COMMUNITY,18023,38126,4135,25390,8601,33356
CLINTON CENTRAL SCHOOL CORPORATION,18023,11755,593,7438,3724,12670
CLINTON PRAIRIE SCHOOL CORPORATION,18023,12636,631,8220,3785,11377
ROSSVILLE CONSOLIDATED,18023,10505,551,7092,2862,9794
CRAWFORD COUNTY COMMUNITY SCHOOL CORPORATION,18025,17962,1607,11811,4544,16718
BARR-REEVE COMMUNITY SCHOOL INC,18027,9273,577,5728,2968,8560
WASHINGTON COMMUNITY SCHOOL INC,18027,27982,1901,20170,5911,25114
TWIN RIVERS VOCATIONAL AREA,18083,1348,386,16,946,1351
DAVIESS-MARTIN SPECIAL EDUCATION COOPERATIVE,18027,4317,1271,227,2819,4933
NORTH DAVIESS COMMUNITY,18027,14314,747,8844,4723,12413
SOUTH DEARBORN COMMUNITY SCHOOL CORPORATION,18029,32520,1514,21171,9835,32684
LAWRENCEBURG COMMUNITY SCHOOL CORPORATION,18029,23877,927,15285,7665,21835
SUNMAN-DEARBORN COMMUNITY CORPORATION,18029,46311,1087,27435,17789,38701
GREENSBURG COMMUNITY SCHOOLS,18031,26667,1791,17539,7337,25649
DECATUR COUNTY COMMUNITY SCHOOLS,18031,23171,1084,15807,6280,23125
GARRETT-KEYSER-BUTLER COMMUNITY SCHOOL CORPORATION,18033,21835,2729,13899,5207,20263
DEKALB COUNTY CENTRAL UNITED,18033,47107,1733,28137,17237,43654
DEKALB COUNTY EASTERN COMMUNITY,18033,39447,7199,14234,18014,34077
DELAWARE COMMUNITY SCHOOL CORPORATION,18035,26968,1526,19121,6321,25483
WES-DEL COMMUNITY SCHOOLS,18035,9326,617,6496,2213,8803
LIBERTY-PERRY CONSOLIDATED SCHOOL CORPORATION,18035,13323,950,9759,2614,11892
COWAN COMMUNITY SCHOOL CORPORATION,18035,7794,454,5467,1873,7439
MT PLEASANT TOWNSHIP COMMUNITY SCHOOL CORPORATION,18035,24350,893,17246,6211,20635
MUNCIE COMMUNITY SCHOOLS,18035,80216,10539,50717,18960,73773
DALEVILLE COMMUNITY SCHOOLS,18035,9846,533,6610,2703,8215
SOUTHEAST DUBOIS COUNTY SCHOOL CORPORATION,18037,15554,307,9365,5882,13763
SOUTHWEST DUBOIS COUNTY SCHOOL CORPORATION,18037,23135,1951,13208,7976,18437
GREATER JASPER CONSOLIDATED SCHOOLS,18037,57585,5140,23621,28824,37921
NORTHEAST DUBOIS COUNTY SCHOOL CORPORATION,18037,10483,241,7003,3239,9995
BAUGO COMMUNITY SCHOOLS,18039,21687,1033,13884,6770,19363
CONCORD COMMUNITY SCHOOLS,18039,66919,5284,41211,20424,55393
ELKHART COMMUNITY SCHOOLS,18039,181856,17474,106219,58163,170884
GOSHEN COMMUNITY SCHOOLS,18039,115008,12062,55997,46949,105048
MIDDLEBURY COMMUNITY SCHOOLS,18039,50973,2537,31796,16640,43630
WA NEE COMMUNITY,18039,35713,1929,22501,11283,32694
FAIRFIELD COMMUNITY SCHOOLS,18039,23770,1183,15035,7552,21939
EAST CENTRAL EDUCATION CENTER,18041,2063,1107,8,948,1912
FAYETTE COUNTY CONSOLIDATED SCHOOL CORPORATION,18041,45336,6029,26740,12567,44095
NEW ALBANY-FLOYD COUNTY CONSOLIDATED SCHOOLS,18043,145173,10376,88012,46785,132610
ATTICA CONSOLIDATED SCHOOL CORPORATION,18045,9109,660,5576,2873,8035
COVINGTON COMMUNITY SCHOOL CORPORATION,18045,10478,621,6768,3089,9493
SOUTHEAST FOUNTAIN COUNTY SCHOOL CORPORATION,18045,12786,861,8619,3306,12213
FRANKLIN COUNTY COMMUNITY SCHOOL CORPORATION,18047,28008,1206,19467,7335,28105
ROCHESTER COMMUNITY SCHOOL CORPORATION,18049,21847,1343,14138,6366,22193
CASTON SCHOOL CORPORATION,18049,8062,454,5405,2203,8227
EAST GIBSON SCHOOL CORPORATION,18051,10026,595,7185,2246,9721
NORTH GIBSON SCHOOL CORPORATION,18051,32421,1625,17197,13599,27213
SOUTH GIBSON SCHOOL CORPORATION,18051,23626,1015,14315,8296,23182
MARION COMMUNITY SCHOOLS,18053,49822,9069,31901,8852,47588
MISSISSINEWA COMMUNITY SCHOOL CORPORATION,18053,25615,1562,19251,4802,24279
EASTBROOK COMMUNITY SCHOOL CORPORATION,18053,15867,958,11427,3482,14083
MADISON-GRANT UNITED SCHOOL CORPORATION,18053,14609,965,9652,3992,13176
EASTERN GREENE SCHOOLS,18055,13769,599,9342,3828,11464
BLOOMFIELD,18055,9258,442,6360,2456,8602
LINTON-STOCKTON SCHOOL CORPORATION,18055,13969,698,10426,2845,12716
GREENE-SULLIVAN SPECIAL EDUCATION COOPERATIVE,18055,3398,1875,252,1271,3398
WHITE RIVER VALLEY,18055,10592,569,6189,3834,9599
SHAKAMAK METROPOLITAN,18055,8768,604,6196,1968,8114
SHERIDAN COMMUNITY SCHOOLS,18057,14614,513,8170,5931,12652
NOBLESVILLE SCHOOLS,18057,121344,2503,73157,45684,106879
WESTFIELD-WASHINGTON SCHOOLS,18057,100255,2445,51626,46184,80286
CARMEL CLAY SCHOOLS,18057,192211,4692,111263,76256,178981
HAMILTON HEIGHTS SCHOOL CORPORATION,18057,27739,914,16952,9873,24992
HAMILTON SOUTHEASTERN SCHOOLS,18057,233106,5817,142151,85138,209407
GREENFIELD-CENTRAL COMMUNITY SCHOOLS,18059,55669,2018,34084,19567,46719
EASTERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,18059,13590,173,9070,4347,11893
MT VERNON COMMUNITY SCHOOL CORPORATION,18059,50854,706,25380,24768,42522
SOUTHERN HANCOCK COUNTY COMMUNITY SCHOOL CORPORATION,18059,37729,577,23266,13886,31560
SOUTHERN HARRISON COMMUNITY SCHOOLS,18061,39992,2854,23507,13631,35136
LANESVILLE COMMUNITY SCHOOL CORPORATION,18061,7609,134,5140,2335,6264
NORTH HARRISON COMMUNITY SCHOOL CORPORATION,18061,25228,1073,16798,7357,23458
BROWNSBURG COMMUNITY SCHOOL CORPORATION,18063,99567,3261,58568,37738,86025
DANVILLE COMMUNITY SCHOOL CORPORATION,18063,34942,1131,18070,15741,26486
PLAINFIELD COMMUNITY SCHOOL CORPORATION,18063,65351,2355,38626,24370,50748
AVON COMMUNITY SCHOOL CORPORATION,18063,119107,5041,71256,42810,98876
MILL CREEK COMMUNITY SCHOOL CORPORATION,18063,17799,438,11548,5813,14914
NORTH WEST HENDRICKS SCHOOLS,18063,24849,694,13263,10892,17709
BLUE RIVER VALLEY SCHOOLS,18065,7531,549,4736,2246,6955
NEW CASTLE COMMUNITY SCHOOL CORPORATION,18065,45376,5498,28247,11631,42433
C A BEARD MEMORIAL SCHOOL CORPORATION,18065,14029,545,9092,4392,11548
SHENANDOAH SCHOOL CORPORATION,18065,15713,454,10415,4844,12653
SOUTH HENRY SCHOOL CORPORATION,18065,8571,359,6147,2065,7995
NORTHWESTERN SCHOOL CORPORATION,18067,20585,435,12712,7438,17207
EASTERN-HOWARD COMMUNITY SCHOOL CORPORATION,18067,16018,459,10440,5119,13668
WESTERN SCHOOL CORPORATION,18067,29446,3713,19059,6674,30437
KOKOMO CENTER TOWNSHIP CONSOLIDATED SCHOOL CORPORATION,18067,80365,10976,50674,18715,79434
TAYLOR COMMUNITY SCHOOL CORPORATION,18067,14005,720,9402,3883,12036
HUNTINGTON COUNTY COMMUNITY SCHOOL CORPORATION,18069,61382,3870,41033,16479,54751
REGION 8 EDUCATION SERVICE CENTER,18001,1063,0,0,1063,1039
BROWNSTOWN CENTRAL COMMUNITY SCHOOL CORPORATION,18071,17966,271,12785,4910,15948
SEYMOUR COMMUNITY SCHOOLS,18071,55939,3765,35911,16263,51205
CROTHERSVILLE COMMUNITY SCHOOLS,18071,5863,317,3682,1864,5791
MEDORA COMMUNITY SCHOOL CORPORATION,18071,3355,618,1896,841,3296
KANKAKEE VALEEY SCHOOL CORPORATN,18073,40710,1205,25947,13558,37162
RENSSELAER CTL SCHOOL CORPORATION,18073,19266,748,12594,5924,18265
JAY COUNTY SCHOOL CORPORATION,18075,43644,3401,28777,11466,38534
SOUTHWESTERN JEFFERSON COUNTY CONSOLIDATED SCHOOLS,18077,15599,872,11038,3689,16084
MADISON CONSOLIDATED SCHOOLS,18077,34530,2182,22340,10008,30500
MADISON AREA EDUCATION SPECIAL SERVICE UNIT,18077,5192,2151,169,2872,5062
JENNINGS COUNTY SCHOOL CORPORATN,18079,56355,4158,35378,16819,51872
EDINBURGH COMMUNITY SCHOOL CORPORATION,18081,9918,731,7190,1997,8857
FRANKLIN COMMUNITY SCHOOL CORPORATION,18081,62276,2586,37329,22361,51255
GREENWOOD COMMUNITY SCHOOL CORPORATION,18081,41217,1825,29045,10347,35169
NINEVEH-HENSLEY-JACKSON UNITED SCHOOLS,18081,19572,622,13156,5794,16362
CLARK-PLEASANT COMMUNITY SCHOOL CORPORATION,18081,81850,2845,47008,31997,73766
JOHNSON COUNTY SPECIAL EDUCATION SERVICE,18081,7385,4739,314,2332,7298
CENTRAL NINE VOCATIONAL TECHNICAL SCHOOL,18081,7324,1702,367,5255,6428
CENTER GROVE COMMUNITY SCHOOL CORPORATION,18081,88702,1511,56420,30771,88524
VINCENNES COMMUNITY SCHOOL CORPORATION,18083,33638,3412,20767,9459,30526
NORTH KNOX SCHOOL CORPORATION,18083,15000,1023,9969,4008,14310
SOUTH KNOX SCHOOL CORPORATION,18083,14055,565,8729,4761,11743
TIPPECANOE VALLEY SCHOOL CORPORATION,18085,26217,1618,15230,9369,22045
WARSAW COMMUNITY SCHOOLS,18085,101149,6301,55763,39085,78418
WAWASEE COMMUNITY SCHOOL CORPORATION,18085,40502,2925,24687,12890,37276
WHITKO COMMUNITY SCHOOL CORPORATION,18183,20825,911,12300,7614,19240
LAKELAND SCHOOL CORPORATION,18087,23655,1363,16749,5543,23881
PRAIRIE HEIGHTS COMMUNITY SCHOOL CORPORATION,18087,16147,516,10729,4902,15408
WESTVIEW SCHOOL CORPORATION,18087,28143,2130,17033,8980,26764
CROWN POINT COMMUNITY SCHOOL CORPORATION,18089,100711,3523,59134,38054,87681
